produto,categoria,estoque_inicial,vendas_do_mes,custo_unitario,preco_venda
Telha Cerâmica Reforçada,Estrutura,70,217,453.15,788.68
Brita Reforçada,Hidráulica,621,205,290.21,390.71
Tijolo Comercial,Estrutura,316,313,285.26,499.44
Tomada Residencial,Hidráulica,363,488,134.65,270.25
Interruptor Reforçada,Estrutura,402,380,305.82,596.97
Madeira Serrada Extra,Iluminação,213,455,290.08,347.73
Porta de Madeira Refinada,Hidráulica,267,368,201.44,239.9
Porta de Madeira Industrial,Elétrica,495,310,495.39,1214.38
Prego Extra,Estrutura,526,374,441.54,579.53
Madeira Serrada Reforçada,Estrutura,455,119,376.05,568.68
Tinta Acrílica Extra,Hidráulica,718,79,270.99,589.32
Telha Cerâmica Premium,Elétrica,189,41,233.72,391.14
Janela de Alumínio Premium,Elétrica,351,20,96.52,130.69
Janela de Alumínio Industrial,Iluminação,142,9,156.34,274.24
Tijolo Reforçada,Elétrica,452,312,388.11,736.06
Fio Elétrico Reforçada,Elétrica,845,152,229.61,398.11
Tijolo Premium,Elétrica,262,311,441.72,1054.18
Telha de Zinco Extra,Acabamento,274,293,78.22,117.22
Tomada Extra,Iluminação,102,85,256.63,519.9
Porta de Madeira Reforçada,Estrutura,671,112,325.25,408.91
Tijolo Industrial,Hidráulica,420,188,260.84,430.18
Bloco de Concreto Refinada,Estrutura,147,111,445.17,951.5
Brita Premium,Iluminação,217,174,494.83,700.06
Tijolo Residencial,Hidráulica,646,309,62.34,120.05
Argamassa Premium,Iluminação,755,301,69.33,91.16
Bloco de Concreto Reforçada,Elétrica,582,451,69.51,86.46
Tinta Acrílica Industrial,Hidráulica,316,3,342.18,627.05
Canos PVC Reforçada,Elétrica,275,221,189.47,387.47
Lâmpada LED Refinada,Estrutura,655,449,367.99,463.19
Prego Reforçada,Estrutura,327,220,205.71,490.6
Tomada Industrial,Hidráulica,122,170,315.67,447.01
Areia Comum,Hidráulica,910,317,386.08,489.54
Tinta Acrílica Residencial,Iluminação,387,483,276.37,382.43
Prego Industrial,Iluminação,463,212,272.05,363.84
Rejunte Residencial,Elétrica,200,252,48.68,59.73
Porta de Madeira Comercial,Hidráulica,900,123,208.34,461.88
Rejunte Reforçada,Estrutura,449,127,275.16,493.57
Lâmpada LED Residencial,Iluminação,196,212,233.68,384.15
Parafuso Comercial,Iluminação,840,111,450.89,1096.06
Cimento Comum,Estrutura,376,84,453.73,734.78
Telha de Zinco Refinada,Iluminação,98,3,411.85,549.31
Telha Cerâmica Refinada,Elétrica,196,64,190.77,283.04
Telha Cerâmica Industrial,Hidráulica,828,317,360.06,516.53
Bloco de Concreto Premium,Estrutura,955,345,200.67,360.85
Bloco de Concreto Industrial,Hidráulica,141,119,120.13,181.17
Telha Cerâmica Extra,Iluminação,881,242,174.74,318.46
Areia Industrial,Iluminação,644,385,40.13,81.75
Lâmpada LED Comercial,Estrutura,569,136,169.23,370.31
Parafuso Comum,Elétrica,809,246,233.07,488.1
Tinta Acrílica Comercial,Acabamento,385,440,477.96,663.33
Parafuso Residencial,Estrutura,700,44,160.14,202.14
Parafuso Reforçada,Acabamento,701,145,451.71,839.92
Brita Refinada,Acabamento,108,367,118.28,163.05
Janela de Alumínio Extra,Elétrica,851,175,99.53,121.32
Fio Elétrico Residencial,Acabamento,43,41,261.9,481.35
Fio Elétrico Refinada,Acabamento,941,296,337.89,526.27
Brita Residencial,Elétrica,591,458,26.94,58.15
Canos PVC Comercial,Acabamento,180,88,114.43,176.21
Porta de Madeira Premium,Acabamento,375,217,230.56,569.53
Tomada Refinada,Acabamento,793,441,168.85,365.04
Tinta Acrílica Refinada,Estrutura,68,227,357.75,422.42
Interruptor Comum,Estrutura,190,297,258.02,467.64
Canos PVC Extra,Estrutura,28,290,84.38,159.28
Telha Cerâmica Comum,Elétrica,235,421,447.76,928.4
Canos PVC Premium,Iluminação,482,66,149.99,269.52
Janela de Alumínio Refinada,Acabamento,104,250,366.91,651.93
Telha Cerâmica Residencial,Acabamento,890,40,391.06,631.61
Argamassa Extra,Elétrica,306,98,481.76,713.03
Cimento Reforçada,Acabamento,602,305,251.76,610.44
Madeira Serrada Refinada,Estrutura,184,359,309.84,478.59
Madeira Serrada Comercial,Iluminação,231,341,170.76,203.0
Fio Elétrico Premium,Hidráulica,624,455,340.7,454.56
Telha de Zinco Comercial,Acabamento,63,78,234.37,539.09
Areia Reforçada,Estrutura,704,300,221.64,425.83
Tomada Comercial,Hidráulica,872,198,428.46,938.45
Tijolo Refinada,Iluminação,412,146,29.83,66.59
Madeira Serrada Residencial,Hidráulica,327,487,441.57,994.65
Areia Residencial,Estrutura,876,105,426.77,798.43
Tijolo Comum,Hidráulica,358,400,255.65,344.61
Rejunte Comum,Elétrica,452,192,247.65,323.81
Parafuso Industrial,Hidráulica,842,492,184.09,350.43
Tomada Comum,Acabamento,589,476,497.12,801.91
Janela de Alumínio Reforçada,Acabamento,549,121,60.03,112.93
Tinta Acrílica Premium,Elétrica,795,76,297.16,534.25
Porta de Madeira Extra,Estrutura,291,311,342.43,665.37
Brita Comum,Acabamento,369,111,467.49,535.26
Argamassa Refinada,Iluminação,924,348,391.2,448.3
Telha de Zinco Premium,Acabamento,832,296,323.7,683.08
Parafuso Premium,Acabamento,640,169,62.82,86.09
Telha de Zinco Residencial,Estrutura,901,5,190.0,382.48
Telha Cerâmica Comercial,Hidráulica,962,196,73.73,137.52
Interruptor Refinada,Acabamento,655,97,441.2,1091.75
Madeira Serrada Comum,Elétrica,650,458,376.06,853.49
Prego Comercial,Hidráulica,17,328,379.98,637.75
Areia Comercial,Iluminação,572,229,327.87,643.6
Fio Elétrico Extra,Estrutura,500,167,255.99,323.62
Parafuso Refinada,Iluminação,350,296,79.24,130.03
Tomada Premium,Hidráulica,481,264,168.2,357.84
Tomada Reforçada,Hidráulica,802,7,72.77,143.48
Lâmpada LED Premium,Hidráulica,696,171,363.83,646.98
Madeira Serrada Industrial,Iluminação,704,441,84.31,113.58
Telha de Zinco Industrial,Hidráulica,713,359,352.55,784.21
Lâmpada LED Industrial,Iluminação,258,194,347.67,515.4
Argamassa Residencial,Hidráulica,244,268,232.36,522.5
Interruptor Industrial,Elétrica,92,18,71.94,140.73
Prego Premium,Hidráulica,102,353,160.83,260.84
Porta de Madeira Residencial,Iluminação,894,351,163.45,189.09
Janela de Alumínio Comum,Acabamento,403,48,351.69,501.29
Brita Industrial,Hidráulica,833,463,61.3,143.73
Cimento Extra,Acabamento,277,355,415.39,932.62
Cimento Comercial,Elétrica,426,337,381.7,727.06
Janela de Alumínio Residencial,Estrutura,641,461,97.22,170.41
Cimento Industrial,Elétrica,592,157,360.99,724.15
Canos PVC Residencial,Hidráulica,538,65,335.91,588.77
Brita Extra,Acabamento,262,460,375.32,751.4
Fio Elétrico Comercial,Acabamento,966,346,98.52,150.77
Telha de Zinco Comum,Iluminação,131,58,83.01,188.76
Bloco de Concreto Extra,Acabamento,901,308,122.06,254.21
Lâmpada LED Comum,Iluminação,19,307,186.11,290.7
Rejunte Industrial,Estrutura,808,336,397.86,900.33
Interruptor Premium,Hidráulica,325,158,370.27,659.92
Argamassa Reforçada,Iluminação,847,270,463.1,622.64
Canos PVC Comum,Estrutura,282,120,34.02,41.12
Madeira Serrada Premium,Acabamento,315,253,10.72,22.29
Parafuso Extra,Acabamento,814,403,351.07,811.38
Argamassa Comum,Estrutura,219,260,143.25,319.51
Rejunte Premium,Acabamento,967,134,170.37,343.79
Tijolo Extra,Estrutura,739,273,275.67,357.8
Cimento Premium,Iluminação,762,55,55.69,68.59
Brita Comercial,Iluminação,895,330,323.13,511.53
Prego Comum,Estrutura,473,95,165.95,381.17
Rejunte Extra,Iluminação,721,113,318.19,778.43
Janela de Alumínio Comercial,Iluminação,737,474,417.83,600.8
Porta de Madeira Comum,Iluminação,726,473,89.7,194.37
Areia Refinada,Elétrica,934,356,465.78,886.57
Tinta Acrílica Comum,Hidráulica,425,428,267.69,306.38
Prego Refinada,Acabamento,225,27,461.85,859.08
Argamassa Industrial,Elétrica,89,305,107.83,240.28
Interruptor Extra,Iluminação,788,1,304.26,452.3
Prego Residencial,Estrutura,489,211,204.92,482.85
Interruptor Residencial,Iluminação,911,67,388.24,555.48
Areia Extra,Hidráulica,900,127,304.92,368.06
Cimento Refinada,Iluminação,556,332,249.79,330.7
Lâmpada LED Extra,Estrutura,810,23,456.93,1038.06
Fio Elétrico Comum,Hidráulica,27,252,191.67,322.82
Interruptor Comercial,Iluminação,174,367,113.89,252.35
Bloco de Concreto Comercial,Hidráulica,534,229,306.01,564.2
Bloco de Concreto Residencial,Acabamento,211,487,313.89,556.46
Fio Elétrico Industrial,Acabamento,750,175,222.35,495.77
Rejunte Refinada,Iluminação,355,428,245.87,416.23
Canos PVC Refinada,Hidráulica,375,374,479.98,1066.92
Telha de Zinco Reforçada,Estrutura,986,220,367.68,456.26
Areia Premium,Iluminação,457,441,59.75,118.95
Tinta Acrílica Reforçada,Acabamento,522,35,110.0,229.2
Lâmpada LED Reforçada,Acabamento,328,1,487.91,1150.85
Argamassa Comercial,Iluminação,226,382,364.6,515.56
Canos PVC Industrial,Hidráulica,43,360,457.95,891.13
Rejunte Comercial,Acabamento,880,273,155.41,265.22
Bloco de Concreto Comum,Hidráulica,275,176,372.22,608.91
Cimento Residencial,Acabamento,649,263,358.43,447.82
Telha Cerâmica Reforçada,Acabamento,733,185,150.87,194.31
Brita Reforçada,Elétrica,784,14,277.65,630.76
Tijolo Comercial,Acabamento,833,488,315.57,678.37
Tomada Residencial,Estrutura,89,400,243.16,397.63
Interruptor Reforçada,Iluminação,686,278,414.45,936.61
Madeira Serrada Extra,Iluminação,422,193,417.27,506.18
Porta de Madeira Refinada,Hidráulica,261,197,426.05,841.31
Porta de Madeira Industrial,Acabamento,21,348,402.69,932.41
Prego Extra,Estrutura,410,410,246.6,560.87
Madeira Serrada Reforçada,Hidráulica,825,420,193.81,314.34
Tinta Acrílica Extra,Elétrica,733,304,416.53,892.76
Telha Cerâmica Premium,Hidráulica,291,63,247.65,420.62
Janela de Alumínio Premium,Hidráulica,121,289,126.95,288.96
Janela de Alumínio Industrial,Acabamento,732,17,256.14,472.08
Tijolo Reforçada,Elétrica,387,63,75.22,163.29
Fio Elétrico Reforçada,Hidráulica,760,361,347.36,420.31
Tijolo Premium,Estrutura,277,329,171.28,329.89
Telha de Zinco Extra,Estrutura,926,357,134.03,250.69
Tomada Extra,Iluminação,307,250,478.47,934.91
Porta de Madeira Reforçada,Elétrica,326,427,389.56,807.91
Tijolo Industrial,Elétrica,579,16,394.6,941.26
Bloco de Concreto Refinada,Iluminação,518,442,313.74,690.21
Brita Premium,Hidráulica,959,140,420.39,591.7
Tijolo Residencial,Elétrica,555,307,380.79,859.16
Argamassa Premium,Estrutura,784,443,301.39,383.04
Bloco de Concreto Reforçada,Estrutura,374,495,480.76,947.62
Tinta Acrílica Industrial,Acabamento,556,425,99.84,233.21
Canos PVC Reforçada,Elétrica,280,474,471.97,585.98
Lâmpada LED Refinada,Hidráulica,970,319,203.71,466.41
Prego Reforçada,Iluminação,483,244,266.56,591.25
Tomada Industrial,Iluminação,748,449,65.76,118.72
Areia Comum,Hidráulica,546,289,272.35,417.36
Tinta Acrílica Residencial,Acabamento,243,350,307.55,512.87
Prego Industrial,Iluminação,68,86,498.86,1225.26
Rejunte Residencial,Elétrica,260,198,487.72,674.21
Porta de Madeira Comercial,Acabamento,856,357,483.37,923.94
Rejunte Reforçada,Elétrica,95,447,177.45,215.87
Lâmpada LED Residencial,Estrutura,772,160,495.68,696.46
Parafuso Comercial,Acabamento,399,139,230.46,499.79
Cimento Comum,Iluminação,189,492,426.66,650.08
Telha de Zinco Refinada,Acabamento,728,75,112.08,277.97
Telha Cerâmica Refinada,Acabamento,865,18,255.39,459.99
Telha Cerâmica Industrial,Acabamento,158,392,483.18,880.91
Bloco de Concreto Premium,Acabamento,592,329,473.78,545.25
Bloco de Concreto Industrial,Elétrica,130,400,343.45,837.72
Telha Cerâmica Extra,Estrutura,774,49,399.92,537.46
Areia Industrial,Hidráulica,614,231,92.33,171.15
Lâmpada LED Comercial,Acabamento,265,294,362.22,599.09
Parafuso Comum,Iluminação,775,424,310.94,522.94
Tinta Acrílica Comercial,Acabamento,873,393,50.32,100.67
Parafuso Residencial,Iluminação,809,11,61.01,123.66
Parafuso Reforçada,Elétrica,318,334,58.68,77.22
Brita Refinada,Iluminação,68,478,363.56,654.2
Janela de Alumínio Extra,Hidráulica,78,14,75.15,165.83
Fio Elétrico Residencial,Estrutura,455,27,236.53,406.97
Fio Elétrico Refinada,Iluminação,397,387,181.71,242.06
Brita Residencial,Iluminação,95,291,277.5,426.93
Canos PVC Comercial,Estrutura,795,374,354.71,495.65
Porta de Madeira Premium,Hidráulica,236,320,343.94,438.92
Tomada Refinada,Acabamento,602,249,260.18,423.73
Tinta Acrílica Refinada,Iluminação,635,491,234.85,436.19
Interruptor Comum,Estrutura,193,97,201.92,242.68
Canos PVC Extra,Elétrica,801,302,431.65,839.71
Telha Cerâmica Comum,Estrutura,331,336,168.77,420.28
Canos PVC Premium,Elétrica,918,38,133.39,326.78
Janela de Alumínio Refinada,Hidráulica,327,37,372.94,843.16
Telha Cerâmica Residencial,Acabamento,575,299,183.08,269.65
Argamassa Extra,Estrutura,408,178,424.26,480.0
Cimento Reforçada,Iluminação,718,96,167.3,379.26
Madeira Serrada Refinada,Hidráulica,908,379,352.46,415.2
Madeira Serrada Comercial,Estrutura,302,468,27.33,37.93
Fio Elétrico Premium,Iluminação,302,281,195.85,364.72
Telha de Zinco Comercial,Estrutura,494,237,174.9,236.07
Areia Reforçada,Elétrica,908,163,409.26,927.92
Tomada Comercial,Estrutura,456,452,483.69,1058.33
Tijolo Refinada,Estrutura,812,96,233.14,503.13
Madeira Serrada Residencial,Estrutura,701,256,413.29,926.84
Areia Residencial,Hidráulica,992,308,351.35,494.55
Tijolo Comum,Estrutura,901,261,483.86,1026.0
Rejunte Comum,Iluminação,421,292,406.5,649.34
Parafuso Industrial,Elétrica,517,257,43.35,88.16
Tomada Comum,Elétrica,743,248,358.07,455.05
Janela de Alumínio Reforçada,Estrutura,795,244,270.07,563.86
Tinta Acrílica Premium,Hidráulica,899,250,13.14,32.34
Porta de Madeira Extra,Hidráulica,253,122,129.4,150.24
Brita Comum,Iluminação,429,324,461.27,567.99
Argamassa Refinada,Estrutura,938,473,463.4,589.95
Telha de Zinco Premium,Elétrica,969,168,400.43,681.85
Parafuso Premium,Hidráulica,163,434,490.98,739.95
Telha de Zinco Residencial,Estrutura,825,174,404.24,901.33
Telha Cerâmica Comercial,Hidráulica,433,268,10.05,17.72
Interruptor Refinada,Hidráulica,282,203,147.48,262.27
Madeira Serrada Comum,Elétrica,945,324,20.16,42.41
Prego Comercial,Acabamento,656,65,51.58,82.88
Areia Comercial,Iluminação,834,314,113.33,180.7
Fio Elétrico Extra,Iluminação,529,323,254.26,549.12
Parafuso Refinada,Elétrica,137,58,424.53,930.59
Tomada Premium,Hidráulica,382,218,431.67,483.54
Tomada Reforçada,Estrutura,577,497,310.02,403.43
Lâmpada LED Premium,Hidráulica,647,372,464.45,649.46
Madeira Serrada Industrial,Elétrica,168,265,252.53,402.09
Telha de Zinco Industrial,Iluminação,580,140,445.07,671.18
Lâmpada LED Industrial,Hidráulica,579,235,229.76,467.77
Argamassa Residencial,Iluminação,661,385,142.23,321.35
Interruptor Industrial,Estrutura,185,217,458.62,627.81
Prego Premium,Iluminação,936,14,197.03,372.03
Porta de Madeira Residencial,Iluminação,629,301,254.19,410.5
Janela de Alumínio Comum,Acabamento,220,440,167.79,303.38
Brita Industrial,Acabamento,456,137,333.1,655.89
Cimento Extra,Acabamento,595,405,497.54,1169.74
Cimento Comercial,Iluminação,176,231,17.63,24.14
Janela de Alumínio Residencial,Elétrica,469,88,450.42,550.33
Cimento Industrial,Iluminação,925,462,6.94,13.73
Canos PVC Residencial,Elétrica,366,76,185.29,306.06
Brita Extra,Elétrica,313,135,88.46,117.48
Fio Elétrico Comercial,Acabamento,242,404,379.88,480.14
Telha de Zinco Comum,Hidráulica,336,468,30.05,56.57
Bloco de Concreto Extra,Estrutura,893,405,278.98,424.23
Lâmpada LED Comum,Acabamento,191,109,150.99,376.93
Rejunte Industrial,Acabamento,643,352,71.17,118.73
Interruptor Premium,Hidráulica,343,300,387.05,540.79
Argamassa Reforçada,Estrutura,724,90,112.62,223.03
Canos PVC Comum,Iluminação,976,423,115.72,166.86
Madeira Serrada Premium,Iluminação,38,369,141.16,252.92
Parafuso Extra,Acabamento,723,405,295.45,524.6
Argamassa Comum,Estrutura,102,413,331.53,575.2
Rejunte Premium,Acabamento,850,189,13.71,30.36
Tijolo Extra,Elétrica,877,72,124.73,175.03
Cimento Premium,Acabamento,697,172,218.33,516.58
Brita Comercial,Acabamento,339,34,169.33,373.86
Prego Comum,Iluminação,732,209,442.66,693.37
Rejunte Extra,Iluminação,193,297,394.92,534.26
Janela de Alumínio Comercial,Iluminação,104,132,314.82,469.51
Porta de Madeira Comum,Elétrica,794,282,172.33,269.82
Areia Refinada,Iluminação,658,197,351.83,661.34
Tinta Acrílica Comum,Estrutura,758,445,422.6,492.29
Prego Refinada,Hidráulica,362,31,299.44,712.7
Argamassa Industrial,Estrutura,939,135,393.31,486.97
Interruptor Extra,Estrutura,950,247,375.81,560.33
Prego Residencial,Iluminação,993,358,288.01,360.88
Interruptor Residencial,Hidráulica,274,340,159.53,232.81
Areia Extra,Hidráulica,656,145,374.16,850.37
Cimento Refinada,Hidráulica,665,333,107.36,210.56
Lâmpada LED Extra,Elétrica,28,142,390.85,554.32
Fio Elétrico Comum,Iluminação,752,233,403.25,935.73
Interruptor Comercial,Hidráulica,655,409,411.96,914.96
Bloco de Concreto Comercial,Elétrica,635,436,239.09,515.27
Bloco de Concreto Residencial,Acabamento,508,43,100.28,229.31
Fio Elétrico Industrial,Acabamento,148,31,54.36,106.95
Rejunte Refinada,Elétrica,646,230,372.96,672.08
Canos PVC Refinada,Elétrica,725,27,443.7,720.35
Telha de Zinco Reforçada,Iluminação,582,422,327.16,462.37
Areia Premium,Iluminação,771,490,76.36,143.59
Tinta Acrílica Reforçada,Acabamento,819,159,467.77,1097.06
Lâmpada LED Reforçada,Hidráulica,534,332,494.61,955.38
Argamassa Comercial,Acabamento,917,206,219.52,524.09
Canos PVC Industrial,Hidráulica,264,17,299.44,479.01
Rejunte Comercial,Hidráulica,94,102,389.73,807.99
Bloco de Concreto Comum,Iluminação,467,69,369.51,742.02
Cimento Residencial,Estrutura,541,118,484.05,986.79
Telha Cerâmica Reforçada,Estrutura,571,138,61.87,123.93
Brita Reforçada,Elétrica,685,159,292.46,412.46
Tijolo Comercial,Iluminação,101,231,347.51,452.12
Tomada Residencial,Hidráulica,609,147,445.6,1100.67
Interruptor Reforçada,Estrutura,78,352,437.68,509.2
Madeira Serrada Extra,Hidráulica,46,423,489.11,858.31
Porta de Madeira Refinada,Estrutura,774,391,258.48,438.15
Porta de Madeira Industrial,Estrutura,773,242,416.23,667.64
Prego Extra,Estrutura,149,34,216.5,475.17
Madeira Serrada Reforçada,Iluminação,876,324,214.05,458.81
Tinta Acrílica Extra,Acabamento,902,381,130.41,308.72
Telha Cerâmica Premium,Hidráulica,689,354,410.03,678.06
Janela de Alumínio Premium,Iluminação,575,238,492.98,931.66
Janela de Alumínio Industrial,Iluminação,907,333,131.89,309.84
Tijolo Reforçada,Iluminação,187,148,32.79,81.69
Fio Elétrico Reforçada,Iluminação,818,110,408.69,1004.16
Tijolo Premium,Iluminação,822,407,312.01,656.78
Telha de Zinco Extra,Elétrica,880,16,480.05,624.31
Tomada Extra,Hidráulica,627,401,129.86,147.06
Porta de Madeira Reforçada,Iluminação,146,225,40.16,90.57
Tijolo Industrial,Hidráulica,199,139,248.76,566.51
Bloco de Concreto Refinada,Elétrica,649,143,47.31,101.48
Brita Premium,Elétrica,351,259,134.59,200.79
Tijolo Residencial,Hidráulica,568,216,67.36,134.43
Argamassa Premium,Estrutura,14,161,115.95,178.88
Bloco de Concreto Reforçada,Acabamento,981,91,57.54,99.6
Tinta Acrílica Industrial,Estrutura,266,173,477.18,780.38
Canos PVC Reforçada,Estrutura,821,330,142.89,339.95
Lâmpada LED Refinada,Estrutura,671,204,224.73,320.87
Prego Reforçada,Iluminação,815,414,449.81,858.53
Tomada Industrial,Elétrica,252,152,340.27,546.26
Areia Comum,Estrutura,796,102,310.93,630.66
Tinta Acrílica Residencial,Elétrica,729,201,354.25,669.67
Prego Industrial,Hidráulica,424,279,415.27,993.98
Rejunte Residencial,Acabamento,636,64,439.45,545.91
